Types de logement détaillés,,
,,
Type,Code hiver,Code été
4LBa,LB_a,LB_a
4LBed,4LB_ed,LB_a
4LLa,LL_a,LL_a
4LLed,4LL_ed,LL_a
9LBa,LB_a,LB_a
9LBed,9LB_ed,LB_a
9LLa,LL_a,LL_a
9LLed,9LL_ed,LL_a
Da,UJRDT_a,UJRDT_a
Ded,R1mc_2_ed,UJRDT_a
J1a,UJRDT_a,UJRDT_a
J1ed,R1mc_1_ed,UJRDT_a
J2a,UJRDT_a,UJRDT_a
J2ed,R1mc_2_ed,UJRDT_a
R1mc1a,UJRDT_a,UJRDT_a
R1mc1ed,R1mc_1_ed,UJRDT_a
R1mc2a,UJRDT_a,UJRDT_a
R1mc2ed,R1mc_2_ed,UJRDT_a
R2mc1a,UJRDT_a,UJRDT_a
R2mc1ed,R2mc_1_ed,UJRDT_a
R2mc2a,UJRDT_a,UJRDT_a
R2mc2ed,R2mc_2_ed,UJRDT_a
Ta,UJRDT_a,UJRDT_a
Ted,T_ed,UJRDT_a
U1a,UJRDT_a,UJRDT_a
U1ec15,U_1_ec15,UJRDT_a
U1ec20,U_1_ec20,UJRDT_a
U1ec25,U_1_ec25,UJRDT_a
U1ec30,U_1_ec30,UJRDT_a
U1ed,U_1_ed,UJRDT_a
U2a,UJRDT_a,UJRDT_a
U2ec15,U_2_ec15,UJRDT_a
U2ec20,U_2_ec20,UJRDT_a
U2ec25,U_2_ec25,UJRDT_a
U2ec30,U_2_ec30,UJRDT_a
U2ed,U_2_ed,UJRDT_a
,,
